dist	Gene	pairLabel
6.418412	CD36	Nuc1_gene1_SE1
5.904336	CD36	Nuc1_gene1_SE2
7.281767	CD36	Nuc1_gene1_SE3
5.077548	CD36	Nuc1_gene1_SE4
6.397166	CD36	Nuc1_gene1_SE5
5.213088	CD36	Nuc1_gene1_SE6
4.639578	CD36	Nuc1_gene1_SE7
3.168115	CD36	Nuc1_gene1_SE8
4.286682	CD36	Nuc1_gene1_SE9
2.897377	CD36	Nuc1_gene1_SE10
1.460023	CD36	Nuc1_gene1_SE11
2.265622	CD36	Nuc1_gene1_SE12
2.526537	CD36	Nuc1_gene1_SE13
3.315077	CD36	Nuc1_gene1_SE14
4.638866	CD36	Nuc2_gene1_SE1
4.850549	CD36	Nuc2_gene1_SE2
2.333774	CD36	Nuc2_gene1_SE3
4.157159	CD36	Nuc2_gene1_SE4
3.9781	CD36	Nuc2_gene1_SE5
3.876193	CD36	Nuc2_gene1_SE6
3.984198	CD36	Nuc2_gene1_SE7
3.120238	CD36	Nuc2_gene1_SE8
4.7204	CD36	Nuc2_gene1_SE9
4.219735	CD36	Nuc2_gene1_SE10
3.320727	CD36	Nuc2_gene1_SE11
2.57796	CD36	Nuc2_gene1_SE12
3.826828	CD36	Nuc2_gene1_SE13
4.124471	CD36	Nuc2_gene1_SE14
2.651092	CD36	Nuc2_gene1_SE15
3.367207	CD36	Nuc2_gene1_SE16
4.126412	CD36	Nuc2_gene1_SE17
0.996741	CD36	Nuc2_gene1_SE18
0.755008	CD36	Nuc2_gene1_SE19
4.500438	CD36	Nuc2_gene1_SE20
4.139766	CD36	Nuc2_gene1_SE21
4.032916	CD36	Nuc2_gene1_SE22
4.111634	CD36	Nuc2_gene1_SE23
1.300179	CD36	Nuc2_gene1_SE24
2.560594	CD36	Nuc2_gene1_SE25
4.553792	CD36	Nuc2_gene1_SE26
5.40133	CD36	Nuc2_gene1_SE27
3.69453	CD36	Nuc2_gene1_SE28
4.1753	CD36	Nuc2_gene1_SE29
3.646564	CD36	Nuc2_gene1_SE30
2.445073	CD36	Nuc2_gene1_SE31
3.960247	CD36	Nuc2_gene1_SE32
1.668253	CD36	Nuc2_gene1_SE33
2.770711	CD36	Nuc2_gene1_SE34
1.614406	CD36	Nuc2_gene1_SE35
2.615621	CD36	Nuc2_gene1_SE36
3.55652	CD36	Nuc2_gene1_SE37
1.952438	CD36	Nuc2_gene1_SE38
3.873641	CD36	Nuc2_gene1_SE39
2.608667	CD36	Nuc2_gene1_SE40
5.124571	CD36	Nuc2_gene1_SE41
3.445499	CD36	Nuc2_gene1_SE42
2.908261	CD36	Nuc2_gene1_SE43
3.808844	CD36	Nuc2_gene1_SE44
5.892287	CD36	Nuc2_gene1_SE45
5.193112	CD36	Nuc2_gene1_SE46
4.704125	CD36	Nuc2_gene1_SE47
4.716817	CD36	Nuc2_gene1_SE48
6.385566	CD36	Nuc2_gene1_SE49
5.364195	CD36	Nuc2_gene1_SE50
6.152266	CD36	Nuc2_gene1_SE51
8.481444	CD36	Nuc2_gene1_SE52
6.32469	CD36	Nuc2_gene1_SE53
5.665026	CD36	Nuc2_gene1_SE54
5.326193	CD36	Nuc3_gene1_SE1
5.443072	CD36	Nuc3_gene1_SE2
7.181826	CD36	Nuc3_gene1_SE3
7.70765	CD36	Nuc3_gene1_SE4
4.92827	CD36	Nuc3_gene1_SE5
5.011597	CD36	Nuc3_gene1_SE6
2.154451	CD36	Nuc3_gene1_SE7
3.212891	CD36	Nuc3_gene1_SE8
0.930864	CD36	Nuc3_gene1_SE9
3.470283	CD36	Nuc3_gene1_SE10
2.809384	CD36	Nuc3_gene1_SE11
3.601127	CD36	Nuc4_gene1_SE1
3.141074	CD36	Nuc4_gene1_SE2
3.603926	CD36	Nuc4_gene1_SE3
5.130115	CD36	Nuc4_gene1_SE4
3.812807	CD36	Nuc4_gene1_SE5
2.949115	CD36	Nuc4_gene1_SE6
3.172145	CD36	Nuc4_gene1_SE7
4.212899	CD36	Nuc4_gene1_SE8
3.251208	CD36	Nuc4_gene1_SE9
4.649733	CD36	Nuc4_gene1_SE10
3.729622	CD36	Nuc4_gene1_SE11
3.964482	CD36	Nuc4_gene1_SE12
4.415404	CD36	Nuc4_gene1_SE13
3.628801	CD36	Nuc4_gene1_SE14
3.72373	CD36	Nuc4_gene1_SE15
4.690299	CD36	Nuc4_gene1_SE16
4.201257	CD36	Nuc4_gene1_SE17
3.24915	CD36	Nuc4_gene1_SE18
2.104948	CD36	Nuc4_gene1_SE19
3.8553	CD36	Nuc4_gene1_SE20
1.479596	CD36	Nuc4_gene1_SE21
1.650897	CD36	Nuc4_gene1_SE22
2.904626	CD36	Nuc4_gene1_SE23
