dist	Gene	pairLabel
1.084504	SELENBP1	Nuc1_gene1_SE1
1.568389	SELENBP1	Nuc1_gene1_SE2
3.482284	SELENBP1	Nuc1_gene1_SE3
0.427619	SELENBP1	Nuc1_gene1_SE4
1.475948	SELENBP1	Nuc1_gene1_SE5
3.158554	SELENBP1	Nuc1_gene1_SE6
2.146897	SELENBP1	Nuc1_gene1_SE7
4.141319	SELENBP1	Nuc1_gene1_SE8
3.2311	SELENBP1	Nuc1_gene1_SE9
2.488614	SELENBP1	Nuc1_gene1_SE10
1.026775	SELENBP1	Nuc1_gene1_SE11
4.780035	SELENBP1	Nuc1_gene1_SE12
3.334505	SELENBP1	Nuc1_gene1_SE13
1.242669	SELENBP1	Nuc1_gene1_SE14
3.779577	SELENBP1	Nuc1_gene1_SE15
5.044489	SELENBP1	Nuc1_gene1_SE16
2.936977	SELENBP1	Nuc1_gene1_SE17
2.339878	SELENBP1	Nuc1_gene1_SE18
3.88007	SELENBP1	Nuc1_gene1_SE19
2.22525	SELENBP1	Nuc1_gene1_SE20
5.835832	SELENBP1	Nuc1_gene1_SE21
4.187325	SELENBP1	Nuc1_gene1_SE22
3.172904	SELENBP1	Nuc1_gene1_SE23
2.139888	SELENBP1	Nuc1_gene1_SE24
6.322729	SELENBP1	Nuc1_gene1_SE25
5.767243	SELENBP1	Nuc1_gene1_SE26
2.208703	SELENBP1	Nuc1_gene1_SE27
5.50346	SELENBP1	Nuc1_gene1_SE28
3.727192	SELENBP1	Nuc1_gene1_SE29
6.356922	SELENBP1	Nuc1_gene1_SE30
6.689238	SELENBP1	Nuc1_gene1_SE31
4.160468	SELENBP1	Nuc1_gene1_SE32
2.862385	SELENBP1	Nuc1_gene1_SE33
4.44957	SELENBP1	Nuc1_gene1_SE34
3.118381	SELENBP1	Nuc1_gene1_SE35
4.181464	SELENBP1	Nuc1_gene1_SE36
3.677627	SELENBP1	Nuc1_gene1_SE37
7.841307	SELENBP1	Nuc1_gene1_SE38
5.133319	SELENBP1	Nuc1_gene1_SE39
3.23445	SELENBP1	Nuc1_gene1_SE40
