dist	Gene	pairLabel
1.973936	VMP1	Nuc1_gene1_SE1
6.732067	VMP1	Nuc1_gene2_SE1
5.230798	VMP1	Nuc1_gene1_SE2
9.118324	VMP1	Nuc1_gene2_SE2
2.851447	VMP1	Nuc1_gene1_SE3
6.973248	VMP1	Nuc1_gene2_SE3
5.304785	VMP1	Nuc1_gene1_SE4
3.398343	VMP1	Nuc1_gene2_SE4
2.268066	VMP1	Nuc1_gene1_SE5
6.510944	VMP1	Nuc1_gene2_SE5
4.921756	VMP1	Nuc1_gene1_SE6
3.427693	VMP1	Nuc1_gene2_SE6
6.714457	VMP1	Nuc1_gene1_SE7
4.072477	VMP1	Nuc1_gene2_SE7
7.554768	VMP1	Nuc1_gene1_SE8
5.253188	VMP1	Nuc1_gene2_SE8
7.429422	VMP1	Nuc1_gene1_SE9
1.544568	VMP1	Nuc1_gene2_SE9
7.678472	VMP1	Nuc1_gene1_SE10
2.974257	VMP1	Nuc1_gene2_SE10
7.538273	VMP1	Nuc1_gene1_SE11
1.912584	VMP1	Nuc1_gene2_SE11
5.43364	VMP1	Nuc1_gene1_SE12
2.668473	VMP1	Nuc1_gene2_SE12
5.790348	VMP1	Nuc1_gene1_SE13
2.59004	VMP1	Nuc1_gene2_SE13
7.326971	VMP1	Nuc1_gene1_SE14
3.919876	VMP1	Nuc1_gene2_SE14
6.940754	VMP1	Nuc1_gene1_SE15
3.488557	VMP1	Nuc1_gene2_SE15
8.798348	VMP1	Nuc1_gene1_SE16
4.862452	VMP1	Nuc1_gene2_SE16
7.9397	VMP1	Nuc1_gene1_SE17
1.759009	VMP1	Nuc1_gene2_SE17
11.391777	VMP1	Nuc1_gene1_SE18
5.862585	VMP1	Nuc1_gene2_SE18
9.729033	VMP1	Nuc1_gene1_SE19
4.154771	VMP1	Nuc1_gene2_SE19
9.672559	VMP1	Nuc1_gene1_SE20
3.075865	VMP1	Nuc1_gene2_SE20
12.285648	VMP1	Nuc1_gene1_SE21
7.149525	VMP1	Nuc1_gene2_SE21
14.025619	VMP1	Nuc1_gene1_SE22
7.355755	VMP1	Nuc1_gene2_SE22
7.113598	VMP1	Nuc2_gene1_SE1
9.047758	VMP1	Nuc2_gene2_SE1
10.041521	VMP1	Nuc2_gene3_SE1
8.023468	VMP1	Nuc2_gene1_SE2
9.018312	VMP1	Nuc2_gene2_SE2
10.317596	VMP1	Nuc2_gene3_SE2
3.33366	VMP1	Nuc2_gene1_SE3
7.504631	VMP1	Nuc2_gene2_SE3
6.558064	VMP1	Nuc2_gene3_SE3
0.737087	VMP1	Nuc2_gene1_SE4
5.59325	VMP1	Nuc2_gene2_SE4
3.931692	VMP1	Nuc2_gene3_SE4
6.370825	VMP1	Nuc2_gene1_SE5
7.213265	VMP1	Nuc2_gene2_SE5
7.572402	VMP1	Nuc2_gene3_SE5
8.902345	VMP1	Nuc2_gene1_SE6
9.156978	VMP1	Nuc2_gene2_SE6
9.637224	VMP1	Nuc2_gene3_SE6
3.586686	VMP1	Nuc2_gene1_SE7
4.221386	VMP1	Nuc2_gene2_SE7
0.720021	VMP1	Nuc2_gene3_SE7
5.079173	VMP1	Nuc2_gene1_SE8
