SampleID,Tissue,Factor,Condition,Treatment,Replicate,bamReads,ControlID,bamControl,Peaks,PeakCaller
A0076,COLO320-DM,MED1,mock,HD0,1,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0076/A0076.q30.sorted.umi_nr.subsampled.sorted.bam,A0075,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0075/A0075.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0076.noBL.narrowPeak,narrow
A0081,COLO320-DM,MED1,mock,HD0,2,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0081/A0081.q30.sorted.umi_nr.subsampled.sorted.bam,A0075,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0075/A0075.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0081.noBL.narrowPeak,narrow
A0077,COLO320-DM,MED1,HD30min,HD1,1,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0077/A0077.q30.sorted.umi_nr.subsampled.sorted.bam,A0075,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0075/A0075.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0077.noBL.narrowPeak,narrow
A0082,COLO320-DM,MED1,HD30min,HD1,2,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0082/A0082.q30.sorted.umi_nr.subsampled.sorted.bam,A0075,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0075/A0075.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0082.noBL.narrowPeak,narrow
A0078,COLO320-DM,MED1,HD60min,HD1,1,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0078/A0078.q30.sorted.umi_nr.subsampled.sorted.bam,A0075,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0075/A0075.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0078.noBL.narrowPeak,narrow
A0083,COLO320-DM,MED1,HD60min,HD1,2,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0083/A0083.q30.sorted.umi_nr.subsampled.sorted.bam,A0075,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0075/A0075.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0083.noBL.narrowPeak,narrow
A0079,COLO320-DM,MED1,HD120min,HD1,1,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0079/A0079.q30.sorted.umi_nr.subsampled.sorted.bam,A0075,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0075/A0075.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0079.noBL.narrowPeak,narrow
A0084,COLO320-DM,MED1,HD120min,HD1,2,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0084/A0084.q30.sorted.umi_nr.subsampled.sorted.bam,A0075,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0075/A0075.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0084.noBL.narrowPeak,narrow
A0080,COLO320-DM,MED1,HD180min,HD1,1,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0080/A0080.q30.sorted.umi_nr.subsampled.sorted.bam,A0075,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0075/A0075.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0080.noBL.narrowPeak,narrow
A0086,COLO320-DM,MED1,HD180min,HD1,2,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0086/A0086.q30.sorted.umi_nr.bam,A0075,/pod/2/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/A0075/A0075.q30.sorted.umi_nr.subsampled.sorted.bam,/projects/wei-lab/proj-SuperEnhancer/1x51_chipseq_processed/blacklistRemovedPeaks/A0086.noBL.narrowPeak,narrow
