group	gene	chrom	start	end	strand	gex
ec_tran_only	RPL41	chr12	56116590	56117967	+	46477.6260992612
ec_tran_only	RPS2	chr16	1962058	1964841	-	44329.8648402901
ec_tran_only	TMSB10	chr2	84905656	84906671	+	38077.0159701783
ec_tran_only	FTH1	chr11	61959718	61967634	-	33354.7364246261
ec_tran_only	RPS27	chr1	153990762	153992155	+	32915.5924279248
ec_tran_only	RPL8	chr8	144789765	144792587	-	29423.1262318711
ec_tran_only	RPLP0	chr12	120196699	120201235	-	28067.9856235664
ec_tran_only	RPL7	chr8	73290242	73295789	-	27302.7728477209
ec_tran_only	RPL29	chr3	51993522	51995895	-	26738.1172347013
ec_tran_only	RPL12	chr9	127447674	127451406	-	26052.5128872522
ec_tran_only	RPL7A	chr9	133348218	133351426	+	25156.1891874013
ec_tran_only	EEF2	chr19	3976056	3985463	-	24354.8024041503
ec_tran_only	GAPDH	chr12	6534512	6538374	+	22372.0430455554
ec_tran_only	RPS11	chr19	49496365	49499708	+	22090.8215801547
ec_tran_only	RPS8	chr1	44775251	44778779	+	21920.1710123568
ec_tran_only	EEF1A1	chr6	73489308	73525587	-	21159.374829686
ec_tran_only	RPL13A	chr19	49487510	49493057	+	20002.2842047701
ec_tran_only	RPS18	chr6	33272075	33276511	+	17615.8850235102
ec_tran_only	S100A6	chr1	153534599	153536244	-	17467.8694825719
ec_tran_only	RPS25	chr11	119015712	119018691	-	17249.763042385
ec_tran_only	HSPA8	chr11	123057489	123063230	-	16319.9082089426
ec_tran_only	RPL10A	chr6	35468401	35470785	+	16057.7054178348
ec_tran_only	RPS6	chr9	19375715	19380236	-	15871.1292628911
ec_tran_only	RPL18A	chr19	17859910	17864153	+	15845.8880256856
ec_tran_only	RPS27A	chr2	55231903	55235853	+	15468.818647406
ec_tran_only	RPS23	chr5	82273320	82278396	-	15426.1769741787
ec_tran_only	RPS3A	chr4	151099624	151104642	+	15260.2852640314
ec_tran_only	RPS24	chr10	78033760	78056813	+	14955.603137212
ec_tran_only	RPL3	chr22	39312882	39320389	-	14810.7155944847
ec_tran_only	HSPA5	chr9	125234853	125241343	-	14709.2978656516
ec_tran_only	TPT1	chr13	45333471	45341284	-	14553.175575497
ec_tran_only	RPS21	chr20	62387103	62388520	+	14537.8524555271
ec_tran_only	RPL13	chr16	89560677	89564542	+	14395.3203500242
ec_tran_only	EIF1	chr17	41688885	41692668	+	14273.5893979067
ec_tran_only	FTL	chr19	48965309	48966879	+	13410.2645091792
ec_tran_only	RPSA	chr3	39406716	39412542	+	12877.5613995506
ec_tran_only	RPL23A	chr17	28719985	28724359	+	12772.210049094
ec_tran_only	RPL39	chrX	119786504	119791630	-	12519.7554452379
ec_tran_only	HSP90AB1	chr6	44246166	44253888	+	11560.1942403795
ec_tran_only	VIM	chr10	17228241	17237593	+	11531.3381256382
ec_tran_only	RPS28	chr19	8321158	8323340	+	11297.7895258855
ec_tran_only	TMSB4X	chrX	12975110	12977227	+	10973.1438021752
ec_tran_only	RPS12	chr6	132814569	132817564	+	10460.1443322358
ec_tran_only	SLC25A5	chrX	119468422	119471396	+	10390.1211216177
ec_tran_only	RPL5	chr1	92832013	92841924	+	9834.10346028576
ec_tran_only	SH3BGRL3	chr1	26280086	26281522	+	9766.72603514464
ec_tran_only	RPL32	chr3	12834485	12841582	-	9624.18331146314
ec_tran_only	ATF4	chr22	39519672	39522683	+	9236.46428662013
ec_tran_only	RPL19	chr17	39200283	39204840	+	9217.3557135622
ec_tran_only	RPL15	chr3	23916591	23924374	+	8943.27745704773
ec_tran_only	APEX1	chr14	20455191	20457772	+	8574.12370346642
ec_tran_only	H1-0	chr22	37805093	37807436	+	8418.37096749309
ec_tran_only	RPL11	chr1	23691742	23696835	+	8380.01697043763
ec_tran_only	RPLP1	chr15	69452814	69456205	+	8218.35063028593
ec_tran_only	H2BC12	chr6	27146361	27146855	-	8163.69984706962
ec_tran_only	PTMA	chr2	231706895	231713551	+	8138.48404236489
ec_tran_only	H1-2	chr6	26055740	26056470	-	8083.85985118974
ec_tran_only	RPL6	chr12	112405190	112418838	-	7941.02067950405
ec_tran_only	RPS7	chr2	3575260	3580920	+	7896.73310161633
ec_tran_only	RPS13	chr11	17074388	17077715	-	7765.96611978675
ec_tran_only	HMGA1	chr6	34236873	34246231	+	7633.07887017476
ec_tran_only	HNRNPA1	chr12	54280193	54287088	+	7578.14176629257
ec_tran_only	RPS16	chr19	39433137	39435949	-	7432.37848697259
ec_tran_only	COX7C	chr5	86617928	86620962	+	7421.59336321194
ec_tran_only	RPL21	chr13	27251309	27256691	+	7345.63376961729
ec_tran_only	EEF1B2	chr2	206159585	206162928	+	7300.11645340852
ec_tran_only	RPS14	chr5	150442635	150449739	-	7271.28621201243
ec_tran_only	RAN	chr12	130872037	130877678	+	7092.43554690638
ec_tran_only	GPX1	chr3	49357176	49358358	-	7041.4262323863
ec_tran_only	RPL23	chr17	38847860	38853764	-	6978.15385348103
ec_tran_only	RPLP2	chr11	809965	812880	+	6821.50260414574
ec_tran_only	RPL35	chr9	124857880	124861981	-	6786.6388782305
ec_tran_only	CALR	chr19	12938578	12944489	+	6742.25884924395
ec_tran_only	UBB	chr17	16380798	16382745	+	6724.95947052589
ec_tran_only	DDIT4	chr10	72273924	72276036	+	6667.49753263874
ec_tran_only	RPL10	chrX	154389955	154409168	+	6487.24330569809
ec_tran_only	RPS15	chr19	1438358	1440495	+	6303.94212494398
ec_tran_only	ERRFI1	chr1	8004404	8026309	-	6273.76178624928
ec_tran_only	IER3	chr6	30743199	30744548	-	6030.59675294381
ec_tran_only	NPM1	chr5	171387116	171411810	+	5910.70727412237
ec_tran_only	TRMT112	chr11	64316460	64317559	-	5881.60469178638
ec_tran_only	RPL27	chr17	42998273	43002959	+	5774.49759735951
ec_tran_only	TUBB	chr6	30720352	30725426	+	5591.53804491233
ec_tran_only	RPL35A	chr3	197950190	197956610	+	5411.69533216944
ec_tran_only	RPL18	chr19	48615328	48619184	-	5363.29813862234
ec_tran_only	RPS5	chr19	58386400	58394806	+	5351.87557368181
ec_tran_only	MARCKSL1	chr1	32333839	32336233	-	5326.92841416965
