group	gene	chrom	start	end	strand	gex
ec_tran_only	RPL41	chr12	56116590	56117967	+	56948.8810090296
ec_tran_only	RPS27	chr1	153990762	153992155	+	54968.3368683893
ec_tran_only	RPS2	chr16	1962058	1964841	-	41993.615653665
ec_tran_only	RPL7A	chr9	133348218	133351426	+	28076.466707413
ec_tran_only	RPS3A	chr4	151099624	151104642	+	26821.2595715733
ec_tran_only	RPS27A	chr2	55231903	55235853	+	25609.3185228443
ec_tran_only	RPL9	chr4	39452587	39458931	-	25075.7797235013
ec_tran_only	TPT1	chr13	45333471	45341284	-	22920.8182063118
ec_tran_only	RPS7	chr2	3575260	3580920	+	22472.1847269636
ec_tran_only	RPL8	chr8	144789765	144792587	-	21090.9414631382
ec_tran_only	RPS6	chr9	19375715	19380236	-	20403.9660086299
ec_tran_only	RPLP0	chr12	120196699	120201235	-	20294.2230017398
ec_tran_only	RPL7	chr8	73290242	73295789	-	19733.389617609
ec_tran_only	RPL29	chr3	51993522	51995895	-	19366.1734138278
ec_tran_only	RPL10A	chr6	35468401	35470785	+	19242.8566436467
ec_tran_only	RPL13A	chr19	49487510	49493057	+	18618.5872173149
ec_tran_only	TUBA1B	chr12	49127782	49131397	-	18549.0411470135
ec_tran_only	RPS8	chr1	44775251	44778779	+	18309.6941319223
ec_tran_only	RPL21	chr13	27251309	27256691	+	17539.6368740199
ec_tran_only	RPS18	chr6	33272075	33276511	+	17358.8718486909
ec_tran_only	RPL13	chr16	89560677	89564542	+	17020.6434814673
ec_tran_only	RPL39	chrX	119786504	119791630	-	16983.8391935984
ec_tran_only	RPS25	chr11	119015712	119018691	-	16698.5158152023
ec_tran_only	RPL12	chr9	127447674	127451406	-	16558.9339189851
ec_tran_only	HNRNPA1	chr12	54280193	54287088	+	16409.4184684193
ec_tran_only	EEF2	chr19	3976056	3985463	-	16403.6667494427
ec_tran_only	RPS12	chr6	132814569	132817564	+	16091.889439425
ec_tran_only	RPL23A	chr17	28719985	28724359	+	15927.2617398218
ec_tran_only	RPS11	chr19	49496365	49499708	+	15709.9528943548
ec_tran_only	EEF1A1	chr6	73489308	73525587	-	14662.5360927589
ec_tran_only	GAPDH	chr12	6534512	6538374	+	14602.2928862273
ec_tran_only	RPSA	chr3	39406716	39412542	+	13320.6610175507
ec_tran_only	RPS23	chr5	82273320	82278396	-	13078.9568708817
ec_tran_only	RPL3	chr22	39312882	39320389	-	12792.1267576955
ec_tran_only	RPS21	chr20	62387103	62388520	+	12520.4549354938
ec_tran_only	RPL5	chr1	92832013	92841924	+	12318.8879152047
ec_tran_only	RPL35A	chr3	197950190	197956610	+	11838.6669227197
ec_tran_only	RPL27	chr17	42998273	43002959	+	11751.3184088531
ec_tran_only	RPL23	chr17	38847860	38853764	-	11711.0638449865
ec_tran_only	RPL11	chr1	23691742	23696835	+	11676.7186183938
ec_tran_only	TUBB	chr6	30720352	30725426	+	11265.9233787934
ec_tran_only	RPS13	chr11	17074388	17077715	-	10931.3246143051
ec_tran_only	UBB	chr17	16380798	16382745	+	10576.3399861047
ec_tran_only	RPLP1	chr15	69452814	69456205	+	10430.2000921953
ec_tran_only	HSP90AB1	chr6	44246166	44253888	+	10333.2376171788
ec_tran_only	RPS16	chr19	39433137	39435949	-	9827.72359134177
ec_tran_only	RPL19	chr17	39200283	39204840	+	9542.22199587852
ec_tran_only	RPL6	chr12	112405190	112418838	-	9461.07824313514
ec_tran_only	RPL35	chr9	124857880	124861981	-	9281.34802074443
ec_tran_only	CDX2	chr13	27960918	27969315	-	8576.16593054005
ec_tran_only	RPL15	chr3	23916591	23924374	+	8405.56485619675
ec_tran_only	H2AZ1	chr4	99948086	99950355	-	8181.50730946807
ec_tran_only	EIF4A2	chr3	186783205	186789897	+	8133.55355765026
ec_tran_only	RPLP2	chr11	809965	812880	+	8090.18279816109
ec_tran_only	RPS28	chr19	8321158	8323340	+	7976.97873961085
ec_tran_only	HSPA5	chr9	125234853	125241343	-	7941.03410236298
ec_tran_only	H1-0	chr22	37805093	37807436	+	7895.58639058161
ec_tran_only	PTMA	chr2	231706895	231713551	+	7808.57473069386
ec_tran_only	HMGB2	chr4	173331376	173334432	-	7796.8244107633
ec_tran_only	HSPA8	chr11	123057489	123063230	-	7494.77966792668
ec_tran_only	RPL32	chr3	12834485	12841582	-	7435.09142293546
ec_tran_only	PCBP1	chr2	70087477	70089203	+	7313.42953866839
ec_tran_only	MRFAP1	chr4	6640091	6642745	+	7148.46978782643
ec_tran_only	RPS14	chr5	150442635	150449739	-	7128.85829039352
ec_tran_only	RPL18A	chr19	17859910	17864153	+	7107.84766080756
ec_tran_only	RPS15	chr19	1438358	1440495	+	6989.74634182443
ec_tran_only	RPL18	chr19	48615328	48619184	-	6951.50093334327
ec_tran_only	RPS20	chr8	56067254	56074510	-	6580.46094348987
ec_tran_only	EIF1	chr17	41688885	41692668	+	6336.1924717876
ec_tran_only	ATF4	chr22	39519672	39522683	+	6265.2953480951
ec_tran_only	SLC25A5	chrX	119468422	119471396	+	6120.97288190798
ec_tran_only	APH1A	chr1	150265399	150269580	-	5940.09598208452
ec_tran_only	RPL34	chr4	108620566	108630412	+	5922.03965393328
ec_tran_only	TUBB4B	chr9	137241287	137243707	+	5718.80253033766
ec_tran_only	FTL	chr19	48965309	48966879	+	5626.9208901645
ec_tran_only	ATP5F1B	chr12	56638175	56645984	-	5607.15118795786
ec_tran_only	TPI1	chr12	6867119	6870948	+	5535.86581304582
ec_tran_only	EEF1B2	chr2	206159585	206162928	+	5451.45512469339
ec_tran_only	TMSB10	chr2	84905656	84906671	+	5430.83943156398
ec_tran_only	COX7C	chr5	86617928	86620962	+	5371.49867551859
ec_tran_only	HSP90B1	chr12	103930107	103953645	+	5127.41246957809
ec_tran_only	BTF3	chr5	73498408	73505635	+	5013.93871210671
ec_tran_only	ACTG1	chr17	81509971	81523847	-	4941.57033541963
ec_tran_only	RPL37	chr5	40825262	40835222	-	4814.11949508473
ec_tran_only	SET	chr9	128683424	128696400	+	4578.41962488953
ec_tran_only	H1-10	chr3	129314771	129316286	-	4493.16604867402
ec_tran_only	RPL10	chrX	154389955	154409168	+	4454.10162699125
ec_tran_only	SF3B5	chr6	144094884	144095573	-	4448.04920432038
ec_tran_only	APEX1	chr14	20455191	20457772	+	4388.51894119312
ec_tran_only	VIM	chr10	17228241	17237593	+	4387.17294838226
ec_tran_only	RAN	chr12	130872037	130877678	+	4373.83993431733
ec_tran_only	RPL4	chr15	66498015	66524532	-	4207.4849614861
ec_tran_only	RPL14	chr3	40457292	40468587	+	4190.22895967163
ec_tran_only	NPM1	chr5	171387116	171411810	+	4185.82158536753
ec_tran_only	SSR3	chr3	156539553	156555149	-	4081.39141245572
ec_tran_only	PSMB4	chr1	151399560	151401937	+	4035.09443027116
ec_tran_only	RPS24	chr10	78033760	78056813	+	4004.77341025478
ec_tran_only	RPL31	chr2	101002229	101024032	+	3791.83514998663
ec_tran_only	CALR	chr19	12938578	12944489	+	3625.21434594058
ec_tran_only	TRMT112	chr11	64316460	64317559	-	3510.18405963725
ec_tran_only	OST4	chr2	27070472	27071654	-	3490.5164937758
ec_tran_only	TMEM106C	chr12	47963569	47968878	+	3439.83447362864
ec_tran_only	RPS4X	chrX	72255679	72277248	-	3435.66096454146
ec_tran_only	TUBA1A	chr12	49184795	49189080	-	3368.84866417231
ec_tran_only	RPS26	chr12	56041351	56044697	+	3364.40996664576
ec_tran_only	EIF5A	chr17	7306999	7312463	+	3355.19384468134
ec_tran_only	B2M	chr15	44711487	44718851	+	3282.97600266848
ec_tran_only	MRPL51	chr12	6491886	6493841	-	3242.39006676962
ec_tran_only	MCL1	chr1	150560895	150579738	-	3210.02152048815
ec_tran_only	SAT1	chrX	23783173	23786226	+	3143.05261270094
ec_tran_only	RPS3	chr11	75399515	75422280	+	3071.27845599006
ec_tran_only	RPL38	chr17	74203582	74210655	+	3022.92363226544
ec_tran_only	RPL36AL	chr14	49618530	49620626	-	2944.37217116224
ec_tran_only	PRDX5	chr11	64318121	64321811	+	2941.49169643684
ec_tran_only	EID1	chr15	48878134	48880173	+	2867.29481312009
ec_tran_only	RHOB	chr2	20447074	20449440	+	2858.02058851018
ec_tran_only	FAU	chr11	65120630	65122177	-	2827.27133365073
ec_tran_only	SHMT2	chr12	57229573	57234935	+	2814.10140233824
ec_tran_only	BEX3	chrX	103376395	103378164	+	2772.22810611956
ec_tran_only	HNRNPK	chr9	83968083	83980616	-	2757.67609941
ec_tran_only	HMGN2	chr1	26472440	26476642	+	2744.67968915051
ec_tran_only	LDHA	chr11	18394560	18408425	+	2735.22376231222
ec_tran_only	RPS5	chr19	58386400	58394806	+	2720.30129389065
ec_tran_only	PFN1	chr17	4945652	4949061	-	2693.27268426215
ec_tran_only	SRSF2	chr17	76734115	76737333	-	2675.60753504444
ec_tran_only	MRFAP1L1	chr4	6707701	6709865	-	2647.7026571613
ec_tran_only	MRPS34	chr16	1771890	1773150	-	2629.28418909806
ec_tran_only	UBA52	chr19	18571730	18577550	+	2612.76760542461
ec_tran_only	ODC1	chr2	10439968	10448327	-	2579.21308983082
ec_tran_only	TUFM	chr16	28842411	28846348	-	2542.21815565813
ec_tran_only	EIF4B	chr12	53006282	53042215	+	2532.02960715402
ec_tran_only	MAGEF1	chr3	184710364	184712064	-	2518.11434409918
ec_tran_only	EIF4G2	chr11	10797050	10808940	-	2515.37625428429
ec_tran_only	ATP5ME	chr4	672436	674330	-	2496.70309480775
ec_tran_only	SELENBP1	chr1	151364304	151372707	-	2495.28551977255
ec_tran_only	ENSA	chr1	150600851	150629612	-	2477.85177328922
ec_tran_only	KCTD12	chr13	76880175	76886405	-	2416.56019850099
ec_tran_only	PHB2	chr12	6965327	6970780	-	2408.64467296226
ec_tran_only	SCD	chr10	100347233	100364826	+	2377.73106762338
ec_tran_only	CYCS	chr7	25118656	25125260	-	2370.38770402859
ec_tran_only	AL138963.3	chr13	45340039	45341183	+	2294.86099748388
ec_tran_only	DDX5	chr17	64498254	64508199	-	2264.07572581138
ec_tran_only	GSTP1	chr11	67583742	67586656	+	2233.8018590488
ec_tran_only	RPL27A	chr11	8682788	8714759	+	2232.05253245595
ec_tran_only	PPIB	chr15	64155817	64163022	-	2227.45384489193
ec_tran_only	ENO1	chr1	8861000	8879190	-	2217.37380025982
ec_tran_only	CALM2	chr2	47160083	47176921	-	2216.24779631686
ec_tran_only	NORAD	chr20	36045618	36051018	-	2211.79514803379
ec_tran_only	H2BC12	chr6	27146361	27146855	-	2202.81157931698
ec_tran_only	PTMS	chr12	6765516	6770952	+	2187.61344369393
ec_tran_only	AC023983.2	chr18	24402153	24402714	+	2182.4258787685
