MergeFragID	Chr	Start	End	nGEMs	ec	rankSE	MED1	GEMtype	PGI	TSS	Gene	LocusLen
PC3DM+_anchor1	chr8	118616749	118626999	141	TRUE	0	TRUE	ec-ec,ecTrans	P	SAMD12;SAMD12-AS1	SAMD12;SAMD12-AS1	10250
PC3DM+_anchor2	chr8	118655044	118660651	36	TRUE	0	TRUE	ecTrans	G	.	SAMD12-AS1	5607
PC3DM+_anchor3	chr8	119108378	119115972	130	TRUE	0	TRUE	ec-ec,ecTrans	G	.	COLEC10	7594
PC3DM+_anchor4	chr8	121886939	121902222	453	TRUE	21	TRUE	ec-ec,ecTrans	P	HAS2-AS1	HAS2-AS1	15283
PC3DM+_anchor5	chr8	121936305	121947675	220	TRUE	0	TRUE	ec-ec,ecTrans	G	.	HAS2-AS1	11370
PC3DM+_anchor6	chr8	122777152	122783080	68	TRUE	0	TRUE	ec-ec,ecTrans	P	AC016405.3;AC016405.2;ZHX2	AC016405.2;AC016405.3;ZHX2	5928
PC3DM+_anchor7	chr8	123955017	123962987	396	TRUE	36	TRUE	ec-ec,ecTrans	G	.	FER1L6	7970
PC3DM+_anchor8	chr8	126323978	126328666	61	TRUE	0	TRUE	ec-ec,ecTrans	P	AC087667.1	AC087667.1	4688
PC3DM+_anchor9	chr8	126504474	126509913	34	TRUE	0	TRUE	ec-ec,ecTrans	P	AC084116.3	AC084116.3	5439
PC3DM+_anchor10	chr8	126548032	126563082	741	TRUE	20	TRUE	ec-ec,ecTrans	P	LRATD2;PCAT1	LRATD2;PCAT1	15050
PC3DM+_anchor11	chr8	126566411	126576892	235	TRUE	20	TRUE	ec-ec,ecTrans	G	.	PCAT1	10481
PC3DM+_anchor12	chr8	127725378	127750165	4229	TRUE	7	TRUE	ec-ec,ecTrans	P	CASC11;MYC	CASC11;MYC	24787
PC3DM+_anchor13	chr8	127755693	127768400	96	TRUE	0	TRUE	ec-ec,ecTrans	I	.	.	12707
PC3DM+_anchor14	chr8	127788421	127804649	2753	TRUE	6	TRUE	ec-ec,ecTrans	P	PVT1	PVT1	16228
PC3DM+_anchor15	chr8	127849910	127856207	226	TRUE	0	TRUE	ec-ec,ecTrans	P	PVT1	PVT1	6297
PC3DM+_anchor16	chr8	128553458	128562159	719	TRUE	31	TRUE	ec-ec,ecTrans	P	LINC00824	LINC00824	8701
PC3DM+_anchor17	chr8	128572115	128583638	99	TRUE	0	TRUE	ec-ec,ecTrans	I	.	.	11523
PC3DM+_anchor18	chr8	130523891	130539324	467	TRUE	13	TRUE	ec-ec,ecTrans	I	.	.	15433
PC3DM+_anchor19	chr8	130592797	130621414	713	TRUE	14	TRUE	ec-ec,ecTrans	G	.	AC090987.1	28617
PC3DM+_anchor20	chr8	130630892	130639721	64	TRUE	3	TRUE	ec-ec,ecTrans	G	.	AC090987.1	8829
PC3DM+_anchor21	chr8	130640916	130655473	319	TRUE	3	TRUE	ec-ec,ecTrans	P	AC090987.1	AC090987.1	14557
