group	gene	chrom	start	end	strand	gex
ec_tran_only	GAPDH	chr12	6534512	6538374	+	38955.7222146308
ec_tran_only	TMSB10	chr2	84905656	84906671	+	18135.4989691834
ec_tran_only	TMSB4X	chrX	12975110	12977227	+	15446.399685923
ec_tran_only	SOX2	chr3	181711925	181714436	+	15200.1781452107
ec_tran_only	MALAT1	chr11	65497688	65506516	+	14768.7704977552
ec_tran_only	TUBA1A	chr12	49184795	49189080	-	14182.399169134
ec_tran_only	VIM	chr10	17228241	17237593	+	13247.5500859619
ec_tran_only	NES	chr1	156668763	156677407	-	13026.7698077581
ec_tran_only	TUBB	chr6	30720352	30725426	+	10101.2276239407
ec_tran_only	RPS2	chr16	1962058	1964841	-	9562.89225815431
ec_tran_only	PEG10	chr7	94656325	94669695	+	7814.07734909818
ec_tran_only	EGR1	chr5	138465479	138469303	+	7581.49187851165
ec_tran_only	HNRNPA1	chr12	54280193	54287088	+	6675.98355863643
ec_tran_only	ACTB	chr7	5526409	5563902	-	5967.84837720988
ec_tran_only	MRFAP1	chr4	6640091	6642745	+	5836.65144350309
ec_tran_only	HSP90AB1	chr6	44246166	44253888	+	5815.49077165327
ec_tran_only	EIF4G2	chr11	10797050	10808940	-	5742.54217222987
ec_tran_only	HSPA8	chr11	123057489	123063230	-	5349.96354060163
ec_tran_only	EEF1A1	chr6	73489308	73525587	-	4828.38674964714
ec_tran_only	DDX5	chr17	64498254	64508199	-	4724.02439766567
ec_tran_only	RPLP0	chr12	120196699	120201235	-	4679.93303484907
ec_tran_only	EEF2	chr19	3976056	3985463	-	4460.99550131972
ec_tran_only	CALM1	chr14	90396502	90408268	+	4235.644120152
ec_tran_only	MAGEF1	chr3	184710364	184712064	-	3548.79101078037
ec_tran_only	RPS3A	chr4	151099624	151104642	+	3459.59214527865
ec_tran_only	RPL23A	chr17	28719985	28724359	+	3323.70656645311
ec_tran_only	ID4	chr6	19837370	19842197	+	3233.90187278474
ec_tran_only	BCAN	chr1	156641390	156659532	+	3169.8857878835
ec_tran_only	H2AX	chr11	119093854	119095467	-	3098.41802630128
ec_tran_only	FTH1	chr11	61959718	61967634	-	3019.64381849902
ec_tran_only	HNRNPDL	chr4	82422564	82430408	-	2986.06080842774
ec_tran_only	RPS11	chr19	49496365	49499708	+	2972.68956328278
ec_tran_only	PFN1	chr17	4945652	4949061	-	2860.34362407257
ec_tran_only	HNRNPK	chr9	83968083	83980616	-	2824.61918507942
ec_tran_only	RPL7	chr8	73290242	73295789	-	2760.46699299462
ec_tran_only	RPL19	chr17	39200283	39204840	+	2678.16143580851
ec_tran_only	ENO1	chr1	8861000	8879190	-	2668.86268769436
ec_tran_only	XIST	chrX	73820649	73852723	-	2648.63938820481
ec_tran_only	SOX4	chr6	21593751	21598619	+	2648.37923813295
ec_tran_only	PHLDA1	chr12	76025447	76033932	-	2610.59993453236
ec_tran_only	EIF4A2	chr3	186783205	186789897	+	2526.92139858561
ec_tran_only	PTMA	chr2	231706895	231713551	+	2475.217625734
ec_tran_only	FLNA	chrX	154348524	154374634	-	2462.86875518264
ec_tran_only	HNRNPA2B1	chr7	26171151	26201529	-	2447.82502050721
ec_tran_only	B2M	chr15	44711487	44718851	+	2377.24685937378
ec_tran_only	RPL3	chr22	39312882	39320389	-	2349.37066978383
ec_tran_only	SRRM2	chr16	2752626	2772538	+	2274.31332476178
ec_tran_only	HSP90B1	chr12	103930107	103953645	+	2261.1392538937
ec_tran_only	RHOB	chr2	20447074	20449440	+	2253.05768913296
ec_tran_only	CYCS	chr7	25118656	25125260	-	2175.8139681581
ec_tran_only	FUS	chr16	31180138	31191605	+	2163.44368270164
ec_tran_only	ARHGDIA	chr17	81867721	81871378	-	2145.43097040071
ec_tran_only	PMP2	chr8	81440326	81447439	-	2134.19952486278
ec_tran_only	ZYX	chr7	143381295	143391111	+	2115.993868452
ec_tran_only	SFPQ	chr1	35176378	35193145	-	2115.39320254013
ec_tran_only	TPT1	chr13	45333471	45341284	-	2067.33241075093
ec_tran_only	RPS18	chr6	33272075	33276511	+	2066.85244841472
ec_tran_only	RPLP1	chr15	69452814	69456205	+	1990.32648335955
ec_tran_only	MCM7	chr7	100092728	100101940	-	1976.20753981787
ec_tran_only	HNRNPAB	chr5	178204533	178211163	+	1931.68724453802
ec_tran_only	HNRNPH1	chr5	179614178	179634784	-	1931.30310764121
ec_tran_only	DDX3X	chrX	41333348	41364472	+	1887.72369992121
ec_tran_only	SPRY2	chr13	80335976	80341126	-	1847.70725235456
ec_tran_only	YBX1	chr1	42682418	42703805	+	1831.82896923263
ec_tran_only	HMGN1	chr21	39342315	39349647	-	1798.08062722833
ec_tran_only	RPS7	chr2	3575260	3580920	+	1759.65149020399
ec_tran_only	LDHA	chr11	18394560	18408425	+	1744.03005640816
ec_tran_only	CBX3	chr7	26201162	26213607	+	1715.84124173576
ec_tran_only	PNMA1	chr14	73711783	73714384	-	1689.65105840877
ec_tran_only	RPS23	chr5	82273320	82278396	-	1657.00291001108
ec_tran_only	HSPB1	chr7	76302673	76304295	+	1655.16887565256
ec_tran_only	DDX17	chr22	38483438	38507660	-	1642.32153075867
ec_tran_only	SLC39A7	chr6	33200445	33204439	+	1640.22652133286
ec_tran_only	MAZ	chr16	29806106	29811164	+	1597.76879170603
ec_tran_only	SLC38A2	chr12	46358188	46372773	-	1555.78998923067
ec_tran_only	SRSF3	chr6	36594353	36605600	+	1548.45057506548
ec_tran_only	JUND	chr19	18279694	18281622	-	1541.39334238573
ec_tran_only	BRD2	chr6	32968594	32981505	+	1540.84649202891
ec_tran_only	MCL1	chr1	150560895	150579738	-	1496.97719572339
ec_tran_only	POU3F2	chr6	98834574	98839458	+	1490.90873543448
ec_tran_only	BSG	chr19	571277	583493	+	1477.61292679536
ec_tran_only	ARL4A	chr7	12686856	12690958	+	1470.74027803994
ec_tran_only	SOX11	chr2	5692384	5701385	+	1446.06704491904
ec_tran_only	FOS	chr14	75278826	75282230	+	1434.28682988301
ec_tran_only	ARL6IP1	chr16	18791669	18801572	-	1412.52002835485
ec_tran_only	JUN	chr1	58776845	58784048	-	1411.9788358902
ec_tran_only	PTPRZ1	chr7	121873089	122062036	+	1402.44545511068
ec_tran_only	EIF4G1	chr3	184314495	184335358	+	1398.27111541834
ec_tran_only	HIGD2A	chr5	176388751	176389761	+	1374.42064994754
ec_tran_only	RPS12	chr6	132814569	132817564	+	1365.84879770723
ec_tran_only	NCL	chr2	231453531	231483641	-	1363.39526920017
ec_tran_only	NCBP2	chr3	196935402	196942594	-	1352.25931321046
ec_tran_only	FOXG1	chr14	28766787	28770277	+	1327.15096691243
ec_tran_only	MYL6	chr12	56158346	56163496	+	1326.09579064932
ec_tran_only	RPL23	chr17	38847860	38853764	-	1313.46748384521
ec_tran_only	TTYH3	chr7	2631986	2664802	+	1299.81121901473
ec_tran_only	HNRNPA0	chr5	137745651	137754363	-	1286.43712530902
ec_tran_only	PRRC2A	chr6	31620715	31637771	+	1282.55231553468
ec_tran_only	H2AZ2	chr7	44826791	44848087	-	1275.29902071984
ec_tran_only	RPS26	chr12	56041351	56044697	+	1262.76358752022
ec_tran_only	PNMA2	chr8	26504701	26514092	-	1262.56331105245
ec_tran_only	ZFP36L1	chr14	68787660	68796253	-	1261.99220580569
ec_tran_only	RPL5	chr1	92832013	92841924	+	1259.89260923234
ec_tran_only	SSRP1	chr11	57325986	57335892	-	1252.88371216115
ec_tran_only	FSCN1	chr7	5592816	5606655	+	1247.30067413183
ec_tran_only	S100B	chr21	46598604	46605208	-	1242.76522979916
ec_tran_only	MRPL51	chr12	6491886	6493841	-	1201.30043648926
ec_tran_only	CCT6A	chr7	56051685	56063989	+	1199.20107598938
ec_tran_only	HEXIM1	chr17	45148475	45152099	+	1193.95644371757
ec_tran_only	MT2A	chr16	56608584	56609497	+	1193.81618540101
ec_tran_only	HSP90AA1	chr14	102080742	102139699	-	1168.88391608444
ec_tran_only	RPS21	chr20	62387103	62388520	+	1152.1374396584
ec_tran_only	PSMC3	chr11	47418769	47426473	-	1122.30796806575
ec_tran_only	MIR9-1HG	chr1	156404250	156456763	-	1107.37016231708
ec_tran_only	SF1	chr11	64764606	64778786	-	1081.41120198272
ec_tran_only	RPL39	chrX	119786504	119791630	-	1075.5957690352
ec_tran_only	CANX	chr5	179678628	179731641	+	1066.39835603132
ec_tran_only	KPNA2	chr17	68035636	68047364	+	1045.25431634819
ec_tran_only	RPL9	chr4	39452587	39458931	-	1031.74575558162
ec_tran_only	APH1A	chr1	150265399	150269580	-	1025.91017805907
ec_tran_only	SEPTIN2	chr2	241315100	241354027	+	995.526340230302
ec_tran_only	DDR1	chr6	30876421	30900156	+	991.903514184716
ec_tran_only	EIF4H	chr7	74174231	74197122	+	967.676394191958
ec_tran_only	RAC1	chr7	6374527	6403967	+	943.953826167032
ec_tran_only	SNHG1	chr11	62851984	62855953	-	926.655004658849
ec_tran_only	SERBP1	chr1	67407810	67430415	-	910.005108231476
ec_tran_only	HNRNPD	chr4	82352498	82374503	-	909.047418570895
ec_tran_only	IGFBP2	chr2	216632828	216664436	+	907.673394752276
ec_tran_only	TUG1	chr22	30969245	30979395	+	905.270709807787
ec_tran_only	PSMC5	chr17	63827152	63832026	+	896.504709580427
ec_tran_only	SPRY4	chr5	142310427	142326455	-	886.275848636053
